trading_year,pairs_selected,total_trades,winning_trades,win_rate,total_pnl,ending_capital,convergence_exits,stop_loss_time_exits,max_holding_exits,period_end_exits,cointegration_drift_exits
2009,8,15,8,53.333333333333336,704.3986635669177,,7.0,6.0,1.0,1.0,
2010,8,12,7,58.333333333333336,359.27619301811,,8.0,3.0,,,1.0
2011,6,15,6,40.0,-682.1190587223622,,5.0,9.0,,1.0,
2012,3,7,4,57.14285714285714,657.0583156425805,,5.0,2.0,,,
2015,3,10,7,70.0,224.52358444026837,,6.0,3.0,,,1.0
2016,10,20,12,60.0,266.41432323852854,,8.0,5.0,4.0,,3.0
2017,7,17,7,41.17647058823529,-241.37686843500722,,7.0,6.0,1.0,,3.0
2018,3,2,0,0.0,-140.86856274760046,,,2.0,,,
2019,3,3,1,33.33333333333333,-31.77774064198792,,1.0,,,2.0,
2021,4,4,1,25.0,-10.896927308313405,,4.0,,,,
2022,3,12,4,33.33333333333333,-513.0678877708687,,2.0,6.0,3.0,,1.0
2023,3,6,3,50.0,13.675898191128368,,3.0,3.0,,,
