pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
"('VFH', 'IAI')",VFH,IAI,FINANCIALS,SHORT,2010-06-28,2010-07-08,7,2.393785847966456,5.224735836377974,1.0479223703362872,14.580256609700431,-156.07215902559028,stop_loss,50000.0,-225.408236770225,258.74519158357333,21.66290664672852,19.776222229003903
"('XLY', 'XRT')",XLY,XRT,CONSUMER_DISC,LONG,2010-07-01,2010-07-09,5,-2.003172355927036,-0.37571048080835373,0.7542927071836641,13.220005897924523,118.33643637951937,convergence,50000.0,234.37928239545838,-291.5836468048428,24.32084846496582,14.746015548706056
"('EWQ', 'EWL')",EWQ,EWL,EUROPE,LONG,2010-06-29,2010-07-14,10,-3.322664700036206,-0.40705939619931564,1.1120283439561278,6.150057843900465,155.1683471372359,convergence,50000.0,361.8700527910627,-361.77346264689606,13.084213256835938,14.553900718688965
"('VGK', 'EWL')",VGK,EWL,EUROPE,LONG,2010-06-29,2010-07-19,13,-4.180837214526845,-0.47888048749524953,1.1493583890371042,8.273978147465257,174.8387087223965,convergence,50000.0,197.57060081447887,-367.42374990014065,23.548803329467773,14.553900718688965
"('VFH', 'IAI')",VFH,IAI,FINANCIALS,SHORT,2010-07-08,2010-08-06,21,3.1426175926847075,0.33703008860005745,1.0479223703362872,14.580256609700431,197.50928273123068,cointegration_drift,49843.92784097441,-228.09173191115516,269.4555456909319,21.34121894836425,18.930877685546875
"('EWQ', 'EWL')",EWQ,EWL,EUROPE,SHORT,2010-07-28,2010-08-16,13,2.121137498536342,0.44003939363810957,1.1120283439561278,6.150057843900465,230.59618491872737,convergence,50292.27133321356,-320.0926243535345,347.9842929458976,14.87838649749756,15.219056129455566
"('VGK', 'EWL')",VGK,EWL,EUROPE,SHORT,2010-07-28,2010-08-17,14,2.1584319866247608,0.302763902472349,1.1493583890371042,8.273978147465257,109.46829284876516,convergence,50292.27133321356,-176.29775940328557,353.41921678021055,26.544565200805664,15.219056129455566
"('XLY', 'XRT')",XLY,XRT,CONSUMER_DISC,SHORT,2010-08-06,2010-08-20,10,2.2158781829970526,0.4216158708819893,0.7542927071836641,13.220005897924523,107.8301235122915,convergence,50489.780615944794,-217.02002090616713,280.17302781196145,26.523548126220703,15.496906280517578
"('EWQ', 'EWL')",EWQ,EWL,EUROPE,LONG,2010-08-20,2010-09-17,19,-2.003121790254486,-0.6848753063892175,1.1120283439561278,6.150057843900465,117.18182522738377,max_holding,50937.67521722458,342.5599839170476,-347.9865394210908,14.080975532531738,15.414263725280762
"('XBI', 'IBB')",XBI,IBB,HEALTHCARE,SHORT,2011-06-30,2011-07-06,3,2.0112763625037324,0.1273115822844041,0.9953879383695512,5.657773271086196,-9.25429272916976,convergence,51054.857042451964,-217.25834798494944,147.97186071658714,23.55392265319824,34.423336029052734
