pair,leg_x,leg_y,sector,direction,entry_date,exit_date,holding_days,entry_z,exit_z,hedge_ratio,half_life,pnl,exit_reason,capital_at_entry,qty_x,qty_y,entry_px,entry_py
"('XLY', 'XRT')",XLY,XRT,CONSUMER_DISC,LONG,2010-07-01,2010-07-09,5,-2.003172355927036,-0.37571048080835373,0.7542927071836641,13.220005897924493,108.19882320607455,convergence,50000,234.37928239545838,-291.5836468048428,24.32084846496582,14.746015548706056
"('VGK', 'EWL')",VGK,EWL,EUROPE,LONG,2010-06-29,2010-07-14,10,-4.180837214526848,-0.5432642442622786,1.1493583890371044,8.273978147465233,112.34511256895779,convergence,50000,197.57060081447887,-367.4237499001407,23.548803329467773,14.553900718688965
"('EWQ', 'EWL')",EWQ,EWL,EUROPE,LONG,2010-06-29,2010-07-14,10,-3.530263918456691,-0.5651840727157541,1.1120283439561276,6.150057843900459,144.75337387028605,convergence,50000,361.87005279106273,-361.77346264689606,13.084213256835938,14.553900718688965
"('KBE', 'IAI')",KBE,IAI,FINANCIALS,SHORT,2010-07-08,2010-07-21,9,3.1006842978134492,0.22192570751788687,1.151324808648033,8.75111304967419,236.36659420805546,convergence,50000,-269.315338173879,282.69695328468646,17.259687423706055,18.930877685546875
"('VFH', 'IAI')",VFH,IAI,FINANCIALS,SHORT,2010-06-28,2010-07-28,21,2.393785847966474,3.7315664505761297,1.0479223703362879,14.580256609700466,-82.79232646008478,cointegration_drift,50000,-225.40823677022496,258.74519158357344,21.66290664672852,19.776222229003903
"('EWG', 'EWU')",EWG,EWU,EUROPE,LONG,2010-07-22,2010-08-06,11,-2.181391117358815,-0.4685132276017619,0.959418377596196,5.1524661102392395,-8.13701347794441,convergence,50000,354.7364852544208,-291.01467053290077,14.38689136505127,16.825422286987305
"('XLY', 'XRT')",XLY,XRT,CONSUMER_DISC,SHORT,2010-08-06,2010-08-17,7,2.2158781829970526,0.5686283967990196,0.7542927071836641,13.220005897924493,37.48290329823364,convergence,50000,-214.91479885499018,277.4551843898111,26.523548126220703,15.496906280517578
"('VGK', 'EWL')",VGK,EWL,EUROPE,SHORT,2010-07-28,2010-08-17,14,2.1584319866247537,0.3027639024723601,1.1493583890371044,8.273978147465233,98.7747104769432,convergence,50000,-175.27321269228162,351.36533647348784,26.544565200805664,15.219056129455566
"('EWG', 'EWN')",EWG,EWN,EUROPE,SHORT,2010-08-04,2010-08-18,10,2.8508631505160666,4.636752306410297,0.8446926151808566,9.236098412019087,-35.48370005744492,stop_loss_time,50000,-356.73737394172673,308.2043666538928,15.19593334197998,14.857163429260254
"('VGK', 'EWL')",VGK,EWL,EUROPE,SHORT,2010-11-02,2010-11-04,2,2.0843598583339795,0.527834273363176,1.143668855328947,8.273978147465233,19.011552743277907,convergence,50000,-155.2667145656609,308.36437119795687,30.0444278717041,17.301286697387695
"('EWQ', 'EWL')",EWQ,EWL,EUROPE,LONG,2010-12-15,2010-12-28,8,-2.1544035274624633,-3.9016762582060647,1.6386388021729958,6.150057843900459,-171.15001723212035,stop_loss_time,50000,233.25957989082224,-351.4523166524302,16.247276306152344,17.670013427734375
